"1901,Nolan Smith\smithno01,2012,2013,POR,NBA,-0.8,84,4,829,109,294,90,221,19,73,40,56,24,59,83,97,25,4,71,81,277,.371,.407,.260,.403,.714,.435"
"1902,Maurice Ager\agerma01,2007,2011,TOT,NBA,-0.9,82,4,505,64,189,53,145,11,44,30,53,8,38,46,19,6,6,29,65,169,.339,.366,.250,.368,.566,.398"
"1903,William Avery\averywi01,2000,2002,MIN,NBA,-0.9,142,1,1205,137,415,97,258,40,157,65,91,17,76,93,199,34,6,106,125,379,.330,.376,.255,.378,.714,.416"
"1904,Dalibor Bagari?\bagarda01,2001,2003,CHI,NBA,-0.9,95,0,973,97,269,97,267,0,2,57,102,84,154,238,37,29,43,72,163,251,.361,.363,.000,.361,.559,.400"
"1905,Junior Harrington\harriju01,2003,2007,TOT,NBA,-0.9,140,66,3096,290,782,270,709,20,73,133,193,69,312,381,428,126,25,250,401,733,.371,.381,.274,.384,.689,.423"
"1906,Tyshawn Taylor\tayloty01,2013,2014,BRK,NBA,-0.9,61,3,491,63,178,54,153,9,25,39,57,5,28,33,57,25,1,56,54,174,.354,.353,.360,.379,.684,.428"
"1907,Marquis Teague\teaguma01,2013,2018,TOT,NBA,-0.9,91,3,909,85,248,75,203,10,45,37,56,5,85,90,134,23,12,77,98,217,.343,.369,.222,.363,.661,.398"
"1908,Isaiah Whitehead\whiteis01,2017,2018,BRK,NBA,-0.9,89,26,1823,244,594,193,427,51,167,104,132,36,174,210,212,50,38,166,198,643,.411,.452,.305,.454,.788,.493"
"1909,Diante Garrett\garredi02,2013,2014,TOT,NBA,-1.0,90,0,1197,117,314,78,203,39,111,15,22,16,96,112,151,51,5,91,80,288,.373,.384,.351,.435,.682,.445"
"1910,Cedric Henderson\hendece02,2000,2002,TOT,NBA,-1.0,128,17,2138,246,619,242,592,4,27,103,157,54,179,233,138,74,42,139,204,599,.397,.409,.148,.401,.656,.435"
"1911,Jonny Flynn\flynnjo01,2010,2012,TOT,NBA,-1.1,163,90,3738,551,1379,433,1030,118,349,284,351,44,263,307,634,122,7,382,179,1504,.400,.420,.338,.442,.809,.490"
"1912,Kenny Satterfield\satteke01,2002,2003,TOT,NBA,-1.1,75,10,1062,128,382,116,327,12,55,53,71,33,62,95,176,51,3,96,79,321,.335,.355,.218,.351,.746,.388"
"1913,Bobby Brown\brownbo02,2009,2018,TOT,NBA,-1.2,158,2,1688,271,715,175,412,96,303,50,62,23,80,103,230,41,4,123,148,688,.379,.425,.317,.446,.806,.463"
"1914,Emmanuel Mudiay\mudiaem01,2016,2019,TOT,NBA,-1.2,246,163,6326,1071,2722,825,1954,246,768,513,691,120,638,758,1023,190,78,593,419,2901,.393,.422,.320,.439,.742,.479"
"1915,Cory Higgins\higgico01,2012,2013,CHA,NBA,-1.3,44,0,455,58,179,53,154,5,25,43,62,8,30,38,41,8,6,39,45,164,.324,.344,.200,.338,.694,.398"
"1916,Kevin Knox\knoxke01,2019,2019,NYK,NBA,-1.3,75,57,2158,338,914,213,550,125,364,162,226,61,274,335,82,43,24,114,175,963,.370,.387,.343,.438,.717,.475"
"1917,Tony Wroten\wroteto01,2013,2016,TOT,NBA,-1.3,145,34,3076,575,1393,491,1030,84,363,370,572,106,257,363,437,137,28,375,268,1604,.413,.477,.231,.443,.647,.488"
"1918,Adam Morrison\morriad01,2007,2010,TOT,NBA,-1.4,161,28,3278,467,1252,343,877,124,375,142,200,82,260,342,222,40,12,172,273,1200,.373,.391,.331,.423,.710,.448"
"1919,Mardy Collins\collima01,2007,2010,TOT,NBA,-1.6,189,31,2771,296,778,258,651,38,127,112,187,91,245,336,327,110,22,203,256,742,.380,.396,.299,.405,.599,.431"
"1920,Nikoloz Tskitishvili\tskitni01,2003,2006,TOT,NBA,-1.6,172,16,1946,190,626,147,443,43,183,84,115,109,198,307,114,46,50,126,227,507,.304,.332,.235,.338,.730,.375"
"1921,Frank Ntilikina\ntilila01,2018,2019,NYK,NBA,-1.8,121,25,2610,277,782,194,510,83,272,72,98,49,215,264,371,95,32,187,285,709,.354,.380,.305,.407,.735,.430"
"1922,Josh Jackson\jacksjo02,2018,2019,PHO,NBA,-2.4,156,64,3947,736,1773,606,1331,130,442,320,492,161,537,698,302,154,91,319,427,1922,.415,.455,.294,.452,.650,.483"
