Player,Class,Season,Pos,School,Conf,Year Drafted,Rd,Pk,Tm,Projected Pk
Jaylen Nowell,SO,2019,G,Washington,Pac-12,2019,2,43,MIN,41
Ja Morant,SO,2019,G,Murray State,OVC,2019,1,2,MEM,9
Kevin Porter Jr,FR,2019,G,Southern California,Pac-12,2019,1,30,MIL,16
Jordan Poole,SO,2019,G,Michigan,Big Ten,2019,1,28,GSW,17
Kezie Okpala,SO,2019,F,Stanford,Pac-12,2019,2,32,PHO,41
Chuma Okeke,SO,2019,F,Auburn,SEC,2019,1,16,ORL,15
Miye Oni,JR,2019,G,Yale,Ivy,2019,2,58,GSW,40
Eric Paschall,SR,2019,F,Villanova,Big East,2019,2,41,GSW,42
Romeo Langford,FR,2019,G,Indiana,Big Ten,2019,1,14,BOS,17
Nassir Little,FR,2019,F,North Carolina,ACC,2019,1,25,POR,15
Jalen McDaniels,SO,2019,F,San Diego State,MWC,2019,2,52,CHO,45
Terance Mann,SR,2019,G,Florida State,ACC,2019,2,48,LAC,46
Cody Martin,SR,2019,F,Nevada,MWC,2019,2,36,CHO,43
Matisse Thybulle,SR,2019,G,Washington,Pac-12,2019,1,20,BOS,12
Dylan Windler,SR,2019,G,Belmont,OVC,2019,1,26,CLE,14
Zion Williamson,FR,2019,F,Duke,ACC,2019,1,1,NOP,-6
Justin Wright-Foreman,SR,2019,G,Hofstra,CAA,2019,2,53,UTA,45
PJ Washington,SO,2019,F,Kentucky,SEC,2019,1,12,CHO,15
Tremont Waters,SO,2019,G,Louisiana State,SEC,2019,2,51,BOS,39
Quinndary Weatherspoon,SR,2019,G,Mississippi State,SEC,2019,2,49,SAS,43
Grant Williams,JR,2019,F,Tennessee,SEC,2019,1,22,BOS,10
Coby White,FR,2019,G,North Carolina,ACC,2019,1,7,CHI,14
Admiral Schofield,SR,2019,G,Tennessee,SEC,2019,2,42,PHI,46
Cam Reddish,FR,2019,F,Duke,ACC,2019,1,10,ATL,15
Isaiah Roby,JR,2019,F,Nebraska,Big Ten,2019,2,45,DET,46
Brandon Clarke,JR,2019,F,Gonzaga,WCC,2019,1,21,OKC,4
Nicolas Claxton,SO,2019,F,Georgia,SEC,2019,2,31,BRK,42
Jarrett Culver,SO,2019,G,Texas Tech,Big 12,2019,1,6,PHO,14
R.J. Barrett,FR,2019,F,Duke,ACC,2019,1,3,NYK,14
Nickeil Alexander-Walker,SO,2019,G,Virginia Tech,ACC,2019,1,17,BRK,15
Ignas Brazdeikis,FR,2019,F,Michigan,Big Ten,2019,2,47,SAC,47
Jarrell Brantley,SR,2019,F,College of Charleston,CAA,2019,2,50,IND,41
Bol Bol,FR,2019,C,Oregon,Pac-12,2019,2,44,MIA,39
Jordan Bone,JR,2019,G,Tennessee,SEC,2019,2,57,NOP,48
De'Andre Hunter,SO,2019,G,Virginia,ACC,2019,1,4,LAL,11
Talen Horton-Tucker,FR,2019,G,Iowa State,Big 12,2019,2,46,ORL,45
Jaxson Hayes,FR,2019,F,Texas,Big 12,2019,1,8,ATL,9
Tyler Herro,FR,2019,G,Kentucky,SEC,2019,1,13,MIA,16
Keldon Johnson,FR,2019,G,Kentucky,SEC,2019,1,29,SAS,18
Mfiondu Kabengele,SO,2019,F,Florida State,ACC,2019,1,27,BRK,12
Justin James,SR,2019,G,Wyoming,MWC,2019,2,40,SAC,38
Cameron Johnson,SR,2019,G,North Carolina,ACC,2019,1,11,MIN,15
Ty Jerome,JR,2019,G,Virginia,ACC,2019,1,24,PHI,19
Daniel Gafford,SO,2019,F,Arkansas,SEC,2019,2,38,CHI,38
Bruno Fernando,SO,2019,F,Maryland,Big Ten,2019,2,34,PHI,37
Carsen Edwards,JR,2019,G,Purdue,Big Ten,2019,2,33,PHI,40
Jaylen Hands,SO,2019,G,UCLA,Pac-12,2019,2,56,LAC,42
Rui Hachimura,JR,2019,F,Gonzaga,WCC,2019,1,9,WAS,15
Kyle Guy,JR,2019,G,Virginia,ACC,2019,2,55,NYK,49
Darius Garland,FR,2019,G,Vanderbilt,SEC,2019,1,5,CLE,13
